	AIMP1	BMP2	CCL1	CCL11	CCL13	CCL17	CCL2	CCL20	CCL23	CCL5	CCR1	CCR3	CCR4	CCR6	CCR8	CD40LG	CD70	CSF1	CSF2	CX3CL1	CX3CR1	CXCL11	CXCL12	CXCL13	CXCL6	CXCL9	CXCR1	CXCR4	FASLG	IFNA2	IFNG	IL10RA	IL10RB	IL11RA	IL12B	IL12RB1	IL12RB2	IL13	IL15	IL15RA	IL16	IL17A	IL17F	IL1A	IL1B	IL1R1	IL1R2	IL1RN	IL2	IL20	IL21	IL2RA	IL2RB	IL2RG	IL3	IL4	IL5	IL5RA	IL6	IL6R	IL7	IL8	IL8RB	IL9R	LOC708339	LOC710618	LOC712292	LOC714751	LOC716099	LTA	MIF	NAMPT	OSM	PF4	SPP1	TNF	TNFRSF11B	TNFSF10	TNFSF11	TNFSF13B	TNFSF14	TNFSF4	VEGFA	XCL1
C-Monk J90	0.24753	0.00439	NA	0.00030	0.00096	0.00030	0.00155	NA	0.00047	0.00147	0.00030	NA	0.00030	0.00030	0.00041	0.00037	0.00416	0.00590	NA	0.00125	0.01462	0.00104	0.29011	0.00030	NA	0.00638	0.00034	0.00240	0.00046	NA	0.00030	0.00093	0.01439	0.02853	0.00030	0.00182	0.00556	NA	0.00793	0.02480	0.00378	NA	0.00030	NA	0.00156	0.00149	0.00055	0.00030	0.00070	NA	0.00030	0.00554	0.00033	0.00067	0.00030	0.00030	NA	NA	0.00207	0.08075	0.00033	0.00036	0.00131	NA	0.00030	NA	NA	0.00030	0.00030	0.00030	0.06447	0.28218	NA	0.00731	0.00219	0.00050	0.00048	0.04700	0.00030	0.00129	0.00079	0.00605	0.19583	0.00030
C-Monk JF	0.33179	0.00787	0.00026	0.00044	0.00585	0.00150	0.01105	NA	0.00086	0.00044	0.00033	0.00026	0.00026	0.00028	0.00026	0.00049	0.00209	0.01343	NA	0.00084	0.01428	0.00508	0.32115	0.00026	0.00026	0.00130	0.00026	0.00233	0.00029	NA	0.00026	0.00243	0.01808	0.03277	0.00026	0.00272	0.00864	NA	0.00986	0.02476	0.00636	NA	0.00026	NA	0.00104	0.00445	0.00105	0.00026	0.00086	NA	0.00030	0.00722	NA	0.00070	NA	0.00071	0.00026	NA	0.00154	0.08487	0.00062	0.00026	0.00159	NA	NA	NA	NA	0.00026	0.00086	NA	0.07465	0.33502	0.00026	0.00027	0.00502	0.00057	0.00093	0.07924	0.00026	0.00310	0.00065	0.00430	0.12669	0.00026
Walc J7	0.34373	0.00877	NA	NA	0.00079	0.00029	0.00367	NA	0.00022	NA	0.00022	NA	NA	NA	0.00026	0.00062	0.00414	0.01043	NA	0.00101	0.01294	0.00116	0.29145	NA	NA	0.00075	0.00045	0.00896	NA	NA	NA	0.00375	0.03883	0.02249	NA	0.00257	0.00289	NA	0.01690	0.01546	0.01153	NA	0.00029	NA	0.00063	NA	0.00182	NA	0.00764	NA	0.00081	0.01212	NA	0.00094	NA	0.00048	NA	NA	0.00191	0.06260	0.00204	0.00061	0.00359	NA	NA	NA	NA	0.00022	NA	NA	0.13882	0.34301	NA	0.00424	0.00080	0.00043	0.00055	0.08393	NA	0.00302	0.00056	0.00496	0.11690	0.00031
Walc J30	0.31578	0.00485	0.00019	0.00068	0.00175	0.00131	0.00979	NA	0.00123	0.00028	0.00026	NA	NA	NA	0.00019	0.00052	0.00377	0.01192	NA	0.00038	0.00959	0.00300	0.42721	0.00019	NA	0.01027	NA	0.01103	0.00020	NA	NA	0.00492	0.03080	0.01952	NA	0.00123	0.00626	NA	0.01436	0.01417	0.01009	NA	0.00051	NA	0.00092	NA	0.00199	0.00022	0.00663	NA	0.00058	0.00741	NA	0.00083	0.00019	0.00042	NA	0.00019	0.00339	0.04972	0.00133	0.00019	0.00256	NA	0.00019	0.00019	NA	0.00019	0.00032	NA	0.10181	0.26776	0.00019	0.00100	0.00174	0.00223	0.00050	0.08735	0.00019	0.00914	0.00030	0.00473	0.11289	0.00046
Walc J90	0.31000	0.01079	0.00126	0.00405	0.00696	0.00136	0.04898	NA	0.00290	0.00608	0.00178	0.00043	0.00091	0.00026	0.00033	0.00277	0.00173	0.02704	NA	0.00230	0.00925	0.05793	0.39648	0.00069	NA	0.45261	0.00201	0.03318	0.00377	NA	0.00415	0.02384	0.05530	0.02013	0.00203	0.00539	0.00515	NA	0.06594	0.02831	0.03573	NA	0.00107	NA	0.00521	NA	0.00260	0.00139	0.00299	NA	0.00137	0.00918	0.00173	0.01090	NA	0.00072	NA	NA	0.00361	0.08641	0.00399	0.00189	0.01277	NA	0.00029	NA	NA	0.00115	NA	0.00036	0.14115	0.35144	0.00028	0.00374	0.00231	0.00596	0.00059	0.15662	0.00172	0.04774	0.00071	0.00545	0.08933	0.04273
Walc JF	0.23494	0.00614	0.00017	0.00074	0.00306	0.00051	0.00898	NA	0.00028	0.00049	0.00044	NA	0.00041	NA	0.00020	0.00139	0.00204	0.01548	NA	0.00182	0.00647	0.00756	0.27881	0.00043	NA	0.00552	NA	0.01117	0.00108	NA	NA	0.00407	0.02849	0.02731	NA	0.00127	0.00691	NA	0.01214	0.01199	0.00958	NA	0.00044	NA	0.00099	NA	0.00069	0.00032	0.00176	NA	0.00017	0.00926	0.00035	0.00150	0.00033	0.00032	NA	0.00017	0.00193	0.05032	0.00200	0.00031	0.00189	NA	NA	0.00020	NA	NA	0.00097	0.00017	0.10485	0.19962	NA	0.00124	0.00157	0.00018	0.00047	0.06668	NA	0.00438	0.00038	0.00307	0.13834	0.00136
C-Walc J7	0.31827	0.00654	NA	NA	0.00206	0.00061	0.00380	NA	0.00031	NA	0.00039	NA	NA	NA	0.00018	0.00057	0.00117	0.01041	NA	0.00083	0.00836	0.00031	0.25924	NA	NA	0.00018	0.00031	0.00453	NA	NA	NA	0.00187	0.03459	0.02291	NA	0.00284	0.00160	NA	0.01062	0.01534	0.01048	NA	0.00018	NA	0.00150	NA	0.00148	NA	0.00220	NA	0.00018	0.01293	NA	0.00072	NA	0.00039	NA	NA	0.00164	0.06051	0.00108	0.00041	0.00244	NA	NA	NA	NA	0.00024	NA	NA	0.11355	0.33829	NA	0.00185	0.00037	0.00100	0.00043	0.07502	NA	0.00325	0.00021	0.00306	0.11167	0.00032
C-Walc J30	0.18947	0.00823	0.00023	0.00135	0.00375	0.00052	0.05333	NA	0.00930	0.00031	0.00077	NA	NA	NA	0.00040	0.00060	0.01120	0.01445	NA	0.00095	0.00668	0.00045	0.47401	0.00026	NA	0.00057	NA	0.01053	0.00022	NA	NA	0.00942	0.03978	0.01887	NA	0.00079	0.00506	NA	0.01792	0.01215	0.01576	NA	0.00058	NA	0.00128	NA	0.00771	0.00061	0.00262	NA	0.00039	0.00537	NA	0.00108	0.00036	0.00041	NA	0.00047	0.00957	0.08213	0.00127	0.00120	0.00411	NA	0.00053	0.00022	NA	0.00095	0.00026	NA	0.13995	0.26316	0.00023	0.00166	0.00244	0.00158	0.00144	0.12825	0.00056	0.01329	0.00033	0.00460	0.15833	0.00039
C-Walc J90	0.31007	0.00813	0.00032	0.00032	0.00215	0.00032	0.00445	NA	0.00157	0.00032	0.00032	0.00032	0.00032	0.00032	0.00032	0.00045	0.00354	0.01449	NA	0.00136	0.01148	0.00191	0.34836	0.00032	NA	0.00032	0.00184	0.01189	0.00032	NA	0.00032	0.00411	0.03321	0.02754	0.00032	0.00304	0.00382	NA	0.01544	0.01368	0.01210	NA	0.00032	NA	0.00282	NA	0.00165	0.00032	0.00229	NA	0.00032	0.01164	0.00032	0.00088	NA	0.00032	NA	NA	0.00354	0.06107	0.00065	0.00149	0.00924	NA	0.00032	NA	NA	0.00032	NA	0.00032	0.11216	0.40072	0.00032	0.00221	0.00063	0.00055	0.00065	0.08274	0.00032	0.00459	0.00032	0.00365	0.09295	0.00087
C-Walc JF	0.36257	0.00604	0.00023	0.00023	0.00163	0.00023	0.00434	NA	0.00076	0.00024	0.00023	NA	0.00023	NA	0.00033	0.00060	0.00145	0.00925	NA	0.00194	0.01104	0.00131	0.29024	0.00023	NA	0.00042	NA	0.00723	0.00023	NA	NA	0.00258	0.02482	0.03247	NA	0.00205	0.00563	NA	0.01200	0.01276	0.00725	NA	0.00023	NA	0.00124	NA	0.00073	0.00023	0.00362	NA	0.00027	0.01606	0.00026	0.00068	0.00030	0.00023	NA	0.00023	0.00219	0.07166	0.00083	0.00023	0.00110	NA	NA	0.00034	NA	NA	0.00023	0.00024	0.09864	0.26432	NA	0.00117	0.00170	0.00023	0.00023	0.05029	NA	0.00132	0.00126	0.00267	0.15793	0.00072
Rub J7	0.22793	0.01715	NA	0.00025	0.00559	0.00035	0.00742	NA	0.00035	0.00033	0.00044	0.00022	0.00022	0.00022	0.00072	0.00047	0.00228	0.01689	NA	0.00168	0.01674	0.00096	0.28140	0.00022	NA	0.00178	0.00049	0.00583	NA	NA	NA	0.00510	0.01984	0.04403	NA	0.00122	0.00473	NA	0.00775	0.01181	0.01732	NA	NA	NA	0.00228	0.00533	0.00094	NA	0.00191	NA	0.00049	0.00707	0.00022	0.00095	NA	0.00129	NA	NA	0.00186	0.10545	0.00134	0.00046	0.00206	NA	NA	NA	NA	0.00022	0.00024	0.00022	0.12038	0.20175	NA	0.00328	0.00275	0.00040	0.00538	0.08291	0.00022	0.00501	0.00025	0.00218	0.10207	0.00059
Rub J30	0.17139	0.00582	NA	0.00637	0.00488	0.00207	0.07067	NA	0.00695	0.00151	0.00230	NA	NA	0.00043	0.00072	0.00249	0.00122	0.02965	NA	0.00342	0.03329	0.10735	0.24491	0.00262	NA	0.45513	NA	0.01104	0.00178	NA	0.00443	0.02055	0.04235	0.02216	0.00068	0.00211	0.00388	NA	0.02976	0.03078	0.01639	NA	0.00029	NA	0.00188	0.00808	0.00411	0.00700	0.00137	NA	0.00199	0.01111	0.00207	0.00868	NA	0.00057	NA	NA	0.00296	0.11214	0.00253	0.00028	0.00628	NA	0.00032	NA	NA	0.00136	0.00060	0.00063	0.10854	0.24508	0.00037	0.01098	0.01147	0.00413	0.00030	0.11465	0.00314	0.03293	0.00043	0.00597	0.06822	0.01164
Rub J90	0.24759	0.00749	0.00050	0.00516	0.01576	0.00251	0.04257	NA	0.00180	0.00345	0.00262	0.00030	0.00049	0.00026	0.00061	0.00219	0.00101	0.01888	NA	0.00258	0.00941	0.06071	0.36324	0.00181	NA	0.57634	NA	0.01074	0.00185	NA	0.00347	0.01465	0.03283	0.02809	0.00091	0.00253	0.00534	NA	0.02350	0.01819	0.01883	NA	0.00052	NA	0.00079	0.00772	0.00117	0.00220	0.00523	NA	0.00105	0.01006	0.00305	0.00613	NA	0.00077	NA	NA	0.00373	0.06320	0.00250	0.00020	0.00342	NA	0.00019	NA	NA	0.00092	0.00035	0.00039	0.10367	0.26261	0.00018	0.00074	0.00235	0.00402	0.00071	0.10153	0.00192	0.02795	0.00074	0.00577	0.08687	0.01661
Rub JF	0.22047	0.01264	NA	0.00396	0.01016	0.00402	0.01860	NA	0.00219	0.00273	0.00106	0.00020	0.00092	0.00046	0.00087	0.00272	0.00465	0.01880	NA	0.00266	0.03372	0.02286	0.32391	0.00290	NA	0.09432	NA	0.01482	0.00217	NA	0.00029	0.01031	0.03452	0.03129	0.00070	0.00344	0.00696	NA	0.01833	0.01540	0.01973	NA	NA	NA	0.00229	0.00495	0.00118	0.00054	0.00080	NA	0.00102	0.00767	0.00174	0.00452	0.00065	0.00082	NA	NA	0.00255	0.07634	0.00217	0.00032	0.00386	NA	0.00022	NA	NA	0.00040	0.00035	0.00025	0.10371	0.22888	0.00030	0.00058	0.01456	0.00178	0.00128	0.12567	0.00065	0.01282	0.00085	0.00678	0.06210	0.00492
C-Rub J7	0.29233	0.00389	NA	0.00023	0.00080	0.00082	0.00128	NA	0.00029	0.00044	0.00018	0.00021	0.00068	0.00082	0.00075	0.00171	0.00043	0.00610	NA	0.00128	0.01731	0.00041	0.26511	0.00154	NA	0.00078	0.00018	0.00864	NA	NA	NA	0.00353	0.02369	0.03384	NA	0.00111	0.00363	NA	0.00758	0.01626	0.01826	NA	NA	NA	0.00158	0.00261	0.00057	NA	0.00185	NA	0.00020	0.00725	0.00039	0.00530	NA	0.00076	NA	NA	0.00155	0.08898	0.00103	0.00073	0.00452	NA	NA	NA	NA	0.00023	0.00018	0.00044	0.09577	0.22170	NA	0.00717	0.00149	0.00156	0.00057	0.09583	0.00032	0.00336	0.00060	0.00444	0.14505	0.00089
C-Rub J30	0.50174	0.01784	NA	0.00235	0.00612	0.00139	0.02526	NA	0.00514	0.00089	0.00031	NA	NA	0.00031	0.00031	0.00038	0.00186	0.02021	NA	0.00127	0.01207	0.00278	0.29771	0.00031	NA	0.00298	NA	0.00559	0.00031	NA	0.00031	0.00272	0.03019	0.03934	0.00031	0.00116	0.00260	NA	0.01042	0.01626	0.01214	NA	0.00033	NA	0.00045	0.01493	0.00236	0.00031	0.00036	NA	0.00031	0.00518	0.00031	0.00148	NA	0.00041	NA	NA	0.00296	0.11203	0.00143	0.00032	0.00291	NA	0.00091	NA	NA	0.00031	0.00274	0.00031	0.14489	0.23882	0.00031	0.00301	0.00816	0.00059	0.00091	0.10965	0.00031	0.01656	0.00031	0.00394	0.09043	0.00077
C-Rub J90	0.30750	0.00673	0.00021	0.00021	0.00296	0.00021	0.00669	NA	0.00142	0.00062	0.00027	0.00021	0.00021	0.00021	0.00034	0.00131	0.00180	0.01136	NA	0.00158	0.01211	0.00254	0.36417	0.00021	NA	0.00185	NA	0.01119	0.00024	NA	0.00021	0.00284	0.02804	0.03409	0.00021	0.00095	0.00503	NA	0.00870	0.01042	0.01108	NA	0.00021	NA	0.00046	0.00531	0.00025	0.00021	0.00529	NA	0.00021	0.00841	0.00021	0.00079	NA	0.00059	NA	NA	0.00347	0.07503	0.00084	0.00021	0.00175	NA	0.00021	NA	NA	0.00036	0.00021	0.00021	0.11054	0.31901	0.00021	0.00225	0.00599	0.00021	0.00125	0.08904	0.00021	0.00309	0.00037	0.00594	0.09066	0.00025
C-Rub JF	0.31050	0.00878	NA	0.00028	0.00296	0.00071	0.00500	NA	0.00081	0.00049	0.00038	0.00023	0.00023	0.00023	0.00048	0.00074	0.00313	0.00914	NA	0.00200	0.02413	0.00279	0.30921	0.00023	NA	0.00192	NA	0.00542	0.00023	NA	0.00023	0.00281	0.02080	0.04174	0.00023	0.00309	0.00517	NA	0.00987	0.01489	0.00838	NA	NA	NA	0.00071	0.00154	0.00084	0.00023	0.00380	NA	0.00023	0.01200	0.00033	0.00086	0.00066	0.00082	NA	NA	0.00192	0.06748	0.00074	0.00023	0.00222	NA	0.00023	NA	NA	0.00023	0.00110	0.00023	0.09187	0.24616	0.00023	0.00051	0.00513	0.00075	0.00039	0.09302	0.00023	0.00335	0.00067	0.00528	0.12983	0.00052
Woo J7	0.30425	0.00815	NA	0.00048	0.00347	0.00069	0.00827	NA	0.00035	0.00036	0.00039	NA	NA	NA	0.00038	0.00048	0.00114	0.01017	NA	0.00128	0.01623	0.00203	0.28192	NA	NA	0.00560	NA	0.00241	NA	NA	NA	0.00270	0.02361	0.03539	NA	0.00562	0.00381	NA	0.00952	0.01784	0.00775	NA	NA	NA	0.00115	0.01070	0.00113	NA	0.00110	NA	NA	0.00679	NA	0.00073	NA	0.00038	NA	NA	0.00085	0.11426	0.00044	0.00035	0.00147	NA	NA	NA	NA	NA	0.00037	NA	0.11649	0.29840	NA	0.00377	0.00130	0.00127	0.00026	0.13625	NA	0.00383	0.00026	0.00338	0.30069	0.00023
Woo J30	0.31849	0.00740	0.00018	0.00582	0.00255	0.00370	0.06299	NA	0.00113	0.00114	0.00143	NA	0.00019	NA	0.00017	0.00086	0.00120	0.01895	NA	0.00193	0.00402	0.02269	0.24137	0.00025	NA	0.11323	NA	0.00408	0.00087	NA	0.00069	0.00479	0.03769	0.02110	0.00027	0.00310	0.00821	NA	0.01853	0.02389	0.00875	NA	NA	NA	0.00128	0.01587	0.00143	0.00106	0.00290	NA	0.00043	0.00408	0.00097	0.00286	NA	0.00068	NA	NA	0.00329	0.12989	0.00146	0.00058	0.00154	NA	NA	NA	NA	0.00119	0.00018	0.00025	0.10983	0.21086	NA	0.00803	0.00424	0.00284	0.00074	0.10907	0.00035	0.01103	0.00029	0.00392	0.18664	0.00346
Woo JF	0.25620	0.01112	NA	0.00480	0.01234	0.00313	0.02567	NA	0.00059	0.00504	0.00210	0.00070	0.00115	0.00056	0.00084	0.00237	0.00553	0.02458	NA	0.00289	0.01400	0.02860	0.32406	0.00204	NA	0.19242	0.00017	0.01785	0.00393	NA	0.00076	0.01815	0.04725	0.03194	0.00149	0.00308	0.00782	0.00017	0.03252	0.02755	0.02458	NA	NA	NA	0.00149	0.01948	0.00069	0.00048	0.00183	NA	0.00019	0.00895	0.00512	0.00784	0.00045	0.00098	NA	0.00023	0.00171	0.06946	0.00431	0.00083	0.00874	NA	NA	NA	NA	0.00051	0.00036	0.00057	0.13299	0.22103	NA	0.00094	0.01257	0.00246	0.00111	0.14322	0.00072	0.01973	0.00150	0.00305	0.16624	0.01212
C-Woo J7	0.28612	0.00708	NA	0.00054	0.00114	0.00168	0.00306	NA	0.00036	0.00040	0.00036	NA	NA	NA	0.00057	0.00049	0.00066	0.01467	NA	0.00196	0.01296	0.00076	0.28159	NA	NA	0.00276	NA	0.00405	NA	NA	NA	0.00331	0.02859	0.03535	NA	0.00670	0.00442	NA	0.01161	0.01545	0.00870	NA	NA	NA	0.00124	0.00736	0.00111	NA	0.00113	NA	NA	0.00607	NA	0.00084	NA	0.00036	NA	NA	0.00122	0.10102	0.00051	0.00048	0.00162	NA	NA	NA	NA	NA	0.00036	NA	0.10480	0.24361	NA	0.01009	0.00088	0.00086	0.00075	0.12733	NA	0.00164	0.00076	0.00417	0.20959	0.00036
C-Woo J30	0.31454	0.00797	0.00027	0.00137	0.00331	0.00145	0.01189	NA	0.00030	0.00029	0.00071	NA	0.00027	NA	0.00032	0.00042	0.00296	0.02328	NA	0.00147	0.00683	0.00029	0.26875	0.00027	NA	0.00047	NA	0.00315	0.00027	NA	0.00027	0.00212	0.02980	0.02627	0.00027	0.00221	0.00717	NA	0.01033	0.01085	0.01040	NA	NA	NA	0.00070	0.01886	0.00042	0.00027	0.00232	NA	0.00027	0.00519	0.00027	0.00070	NA	0.00032	NA	NA	0.00230	0.08295	0.00078	0.00027	0.00112	NA	NA	NA	NA	0.00027	0.00027	0.00027	0.10749	0.15276	NA	0.01175	0.00159	0.00040	0.00042	0.06846	0.00027	0.00338	0.00027	0.00439	0.14869	0.00088
C-Woo JF	0.27887	0.01186	NA	0.00035	0.00400	0.00104	0.00793	NA	0.00062	0.00063	0.00036	0.00024	0.00020	0.00020	0.00046	0.00059	0.00248	0.01692	NA	0.00269	0.01833	0.00370	0.31659	0.00020	NA	0.00339	0.00022	0.00747	0.00020	NA	0.00020	0.00552	0.02607	0.03155	0.00020	0.00234	0.00495	0.00037	0.01417	0.01481	0.01124	NA	NA	NA	0.00120	0.00931	0.00120	0.00020	0.00240	NA	0.00027	0.00817	0.00055	0.00102	0.00040	0.00032	NA	0.00024	0.00114	0.09393	0.00104	0.00030	0.00328	NA	NA	NA	NA	0.00020	0.00085	0.00032	0.12164	0.23208	NA	0.00152	0.00335	0.00050	0.00039	0.13838	0.00020	0.00392	0.00114	0.00188	0.23646	0.00092
